,Ingredient,Substitutes,semantic_substitutions,precision,recall,f1,accuracy,NL_precision,NL_recall,NL_F1
0,a1 sauce,"['SAUCE', 'CONDIMENT']","['SAUCE', 'TOMATO']",0.0,0.0,0.0,0.0,0.5,0.5,0.5
1,adobo sauce,['CONDIMENT'],['SAUCE'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,alphonso olives,"['CONDIMENT', 'CONDIMENT']","['CONDIMENT', 'CONDIMENT']",0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,aluminum foil,"['WRAPPER', 'WRAPPER']","['WRAPPER', 'PROCESSED MEAT']",0.5,0.5,0.5,0.5,0.5,0.5,0.5
4,amphissa olives,"['CONDIMENT', 'CONDIMENT']","['CONDIMENT', 'CONDIMENT']",0.5,0.5,0.5,0.5,1.0,1.0,1.0
5,anchovy paste,"['FISH', 'SEASONING', 'FERMENTED FOOD']","['FERMENTED FOOD', 'SEASONING', 'FISH']",0.333333333,0.333333333,0.333333333,0.333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
6,apple blossoms,"['GARNISH', 'GARNISH']","['GARNISH', 'GARNISH']",1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,apple butter,['FRUIT SAUCE'],['BUTTER'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,apple jelly,"['PROCESSED FRUIT', 'PROCESSED FRUIT', 'JUICE']","['PROCESSED FRUIT', 'FRUIT SAUCE', 'FRUIT']",0.333333333,0.333333333,0.333333333,0.333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
9,applesauce,"['SPREAD', 'STARCHY VEGETABLE', 'PROCESSED FRUIT']","['SEASONING', 'FRUIT', 'honeycrisp apples']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,apricot jam,"['PROCESSED FRUIT', 'PROCESSED FRUIT']","['FRUIT', 'FRUIT']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,arauco olives,['CONDIMENT'],['CONDIMENT'],0.0,0.0,0.0,0.0,1.0,1.0,1.0
12,arbequina olives,['CONDIMENT'],['CONDIMENT'],0.0,0.0,0.0,0.0,1.0,1.0,1.0
13,asian barbecue sauce,"['korean SAUCE', 'SAUCE', 'SAUCE']","['korean SAUCE', 'SAUCE', 'SAUCE']",0.333333333,0.333333333,0.333333333,0.333333333,1.0,1.0,1.0
14,atlanta olives,['CONDIMENT'],['CONDIMENT'],0.0,0.0,0.0,0.0,1.0,1.0,1.0
15,bamboo leaves,['WRAPPER'],['VEGETABLE'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,banana catsup,['CONDIMENT'],['crème de banane'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,banana leaves,"['WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER', 'WRAPPER']","['GARNISH', 'FRUIT', 'FRUIT squash', 'crème de banane', 'FRUIT pepper']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
